date,rate
08.05.2017,0.5715
09.05.2017,0.6165
10.05.2017,0.6364
11.05.2017,0.6382
12.05.2017,0.5933
13.05.2017,0.6189
14.05.2017,0.6170
15.05.2017,0.6315
16.05.2017,0.6312
17.05.2017,0.6604
18.05.2017,0.6805
19.05.2017,0.7126
20.05.2017,0.7290
21.05.2017,0.7555
22.05.2017,0.7562
23.05.2017,0.8561
24.05.2017,0.9590
25.05.2017,1.0064
26.05.2017,0.8275
27.05.2017,0.7505
28.05.2017,0.8
29.05.2017,0.86
30.05.2017,0.86
31.05.2017,0.88
01.06.2017,0.92
02.06.2017,0.91
03.06.2017,0.94
04.06.2017,0.94
05.06.2017,1.10
06.06.2017,1.05
07.06.2017,1.01
08.06.2017,1.02
09.06.2017,1.05
10.06.2017,1.07
11.06.2017,1.10
12.06.2017,1.08
13.06.2017,1.11
14.06.2017,1.05
15.06.2017,1.03
16.06.2017,1.11
17.06.2017,1.11
